CONS,BOOTH,INC2009,BJP2009,CPI2009,INC2014,BJP2014,CPI2014,INC2016,BJP2016,CPI2016,Total2009,Total2014,Total2016,BOOTHNAME
KOVALAM,24,239,50,135,316,267,349,406,168,411,765,960,1025,"Lower Primary School, Muttakkad"
KOVALAM,25,252,49,152,325,292,446,462,136,510,945,1110,1174,"Lower Primary School, Muttakkad (West - Portion)"
KOVALAM,26,328,83,210,300,390,188,337,325,286,784,936,1008,"Lower Primary School, Muttakkad (New Building South Portion)"
KOVALAM,27,383,5,185,571,74,364,580,40,535,933,1040,1186,"Lower Primary School, Muttakkad (New Building North Portion)"
KOVALAM,28,268,11,105,389,168,329,504,138,384,855,908,1046,"Boys High School, Vengannor"
KOVALAM,29,240,159,176,163,368,109,187,308,239,599,675,761,"Boys High School, Vengannor"
KOVALAM,30,249,187,187,311,425,223,392,335,338,874,989,1099,"Agricultural College, Vellayani"
KOVALAM,31,250,45,304,194,360,262,196,265,352,745,846,853,Ayyankali Sports School Vellayani
KOVALAM,32,302,94,149,423,180,282,402,231,368,780,927,1042,"Hollycross Lower Primary School, Palapoor"
KOVALAM,33,256,172,207,221,429,230,242,450,357,677,923,1091,"Anganvadi Centre No.90, Palappoor"
KOVALAM,34,291,144,169,228,370,157,250,370,259,662,784,918,Holy Cross LPS Palappor
KOVALAM,35,221,120,203,165,352,231,182,392,298,647,799,894,"Agricultural College, Vellayani"
KOVALAM,36,283,261,236,204,544,264,200,566,435,892,1063,1263,"S A Lower Primary School, Kakkamoola (South Portion)"
KOVALAM,37,215,164,309,106,429,287,119,423,462,723,849,1047,"S A Lower Primary School, Kakkamoola (East Portion)"
KOVALAM,38,304,164,326,200,562,180,258,478,430,831,1055,1238,"R C Lower Primary School, Peringammala (West Portion)"
KOVALAM,39,288,133,245,202,407,226,256,343,350,764,878,997,"Govt. New Upper Primary School, Santhivila"
KOVALAM,40,258,141,187,206,349,290,267,306,425,806,912,1058,"R C Lower Primary School, Peringammala (East Portion)"
KOVALAM,41,264,239,290,175,563,293,195,571,418,846,1062,1261,"R C Lower Primary School, Peringammala (EastBuilding)"
KOVALAM,42,156,129,214,129,337,239,163,330,314,621,731,840,"R C Lower Primary School, Peringammala (East Portion)"
KOVALAM,43,238,40,279,247,247,329,334,209,379,724,874,959,"S A Lower Primary School, Kakkamoola (North Portion)"
KOVALAM,44,250,185,298,161,445,311,216,402,398,823,960,1056,"Mudippuranada Lower Primary School, Vellayani (Main Building Middle Portion)"
KOVALAM,45,213,217,197,210,447,224,243,439,344,770,919,1091,"Mudippuranada Lower Primary School, Vellayani  (DPEP Building)"
KOVALAM,46,372,164,273,260,487,227,337,368,322,922,1042,1062,"M S C Lower Primary School, Ookkode (South Portion)"
KOVALAM,47,305,64,457,376,215,380,507,167,535,926,1057,1237,"L M S Lower Primary School, Kudumbanoor"
KOVALAM,48,211,57,170,252,333,253,330,243,364,574,892,968,"N S S Karayoga Mandiram, Upaniyoor"
KOVALAM,49,242,45,346,305,210,316,454,172,421,827,904,1089,"N S S Karayoga Mandiram, Upaniyoor"
KOVALAM,50,420,5,211,374,59,321,611,24,284,691,778,936,"Mudippuranada Lower Primary School, Vellayani (Main Building East Portion)"
KOVALAM,51,236,25,363,322,140,316,461,109,457,805,916,1045,"Mudippuranada Lower Primary School, Vellayani (Main Building West Portion)"
KOVALAM,52,310,63,410,254,362,413,277,235,602,964,1064,1161,"Mudippuranada Lower Primary School, Vellayani (Office Building)"
KOVALAM,53,211,81,212,151,312,215,192,252,283,601,719,768,"High School, Punnamoodu"
KOVALAM,54,207,65,245,204,224,306,350,178,357,656,776,910,"High School, Punnamoodu"
KOVALAM,55,239,59,221,285,173,240,386,129,279,690,755,838,"Panchayath Office, Kalliyoor"
KOVALAM,56,249,46,383,241,277,369,321,247,460,841,925,1068,Krishi Bhavan Office Kalliyoor
KOVALAM,57,247,75,140,220,337,293,279,196,438,747,877,950,Nethaji Grandhasala Ookode
KOVALAM,58,194,109,147,142,344,158,162,265,263,571,676,718,Gramodharanasnagham Building Ookode
KOVALAM,59,234,243,177,244,530,154,326,437,278,738,980,1063,"L M S Lower Primary School, Kudumbanoor"
KOVALAM,60,217,193,148,188,393,98,290,361,152,604,715,823,"High School, Punnamoodu (Main Building East Portion)"
KOVALAM,61,181,188,203,205,362,180,224,312,248,680,805,810,"High School, Punnamoodu (Main Building West Portion)"
KOVALAM,62,475,94,216,394,308,199,627,203,253,859,948,1119,"High School, Punnamoodu (Main Building East Portion)"
KOVALAM,63,301,64,182,324,267,269,485,192,307,779,902,1028,"High School, Punnamoodu High School Section(Room 12)"
KOVALAM,64,274,31,177,417,232,315,491,171,463,842,995,1157,"High School, Punnamoodu High School Section (Room 45)"
KOVALAM,65,269,46,191,404,354,290,523,205,452,963,1119,1234,"Goverment Highschool, Balarampuram (West Portion)"
KOVALAM,66,262,60,296,262,299,221,271,242,333,666,823,866,"Goverment Highschool, Balarampuram Higher Secondary Section(West Portion)"
KOVALAM,67,279,40,161,319,199,230,450,141,311,737,790,937,"Governement High School, Balaramapuram (South Portion)"
KOVALAM,68,186,21,147,214,113,140,251,179,182,463,603,635,"Governement High School, Balaramapuram (South Building West Side)"
KOVALAM,69,229,10,183,358,32,165,381,18,319,459,601,742,"Government Highschool, Balaramapuram (East Portion)"
KOVALAM,70,268,105,278,356,258,254,372,351,298,779,930,1070,"St. Joseph Lower Primary School, Balaramapuram (Middle Portion)"
KOVALAM,71,184,0,211,379,26,229,421,26,295,439,690,760,"St. Joseph Lower Primary School, Balaramapuram (West Portion)"
KOVALAM,72,309,2,187,456,1,196,454,5,251,540,697,742,"St. Joseph Lower Primary School, Balaramapuram (North Portion)"
KOVALAM,73,347,1,181,520,29,560,620,69,178,571,1200,916,"St. Joseph Lower Primary School, Balaramapuram (South Portion)"
KOVALAM,74,272,71,207,277,308,258,490,39,150,715,889,708,"SC/ST Development Department, Nursery School Thalayal"
KOVALAM,75,280,108,207,279,365,226,322,301,369,704,915,1024,S N D P Hall Villikkulam
KOVALAM,76,286,13,70,320,218,235,277,424,314,667,810,1059,K V Lower Primary School Thempamuttam (South Portion) 
KOVALAM,77,315,22,151,386,122,240,380,157,359,607,786,923,K V Lower Primary School Thempamuttam (Middle Portion) 
KOVALAM,78,534,6,314,555,40,459,577,112,205,898,1123,934,K V Lower Primary School Thempamuttam (North Portion) 
KOVALAM,79,279,1,216,456,54,367,717,61,186,542,928,991,K V Lower Primary School Punnakkadu (West Portion)
KOVALAM,80,299,4,236,417,3,307,751,75,221,623,806,1105,K V Lower Primary School Punnakkadu (Middle Portion)
KOVALAM,81,196,2,287,353,9,309,498,3,322,590,727,859,"Devi Vilasam Upper Primary School, Thalayal (West Portion)"
KOVALAM,82,549,3,243,547,23,388,349,9,417,866,1011,799,"Devi Vilasam Upper Primary School, Thalayal (East Portion)"
KOVALAM,83,583,2,287,495,18,347,595,35,151,933,920,807,"Agricultural Office, Balaramapuram"
KOVALAM,84,265,66,191,385,128,177,708,35,229,600,756,997,Anganwadi No 16 Balaramapuram
KOVALAM,85,320,61,161,288,372,182,430,142,338,733,878,935,"Buds School Balaramapura, Near K S H B"
KOVALAM,86,307,7,202,381,278,340,287,348,334,929,1052,994,"Govt. HS, Balaramapuram (North Building, Staff Room)"
KOVALAM,87,357,0,85,446,198,243,487,175,522,777,923,1245,"Lutheran Lower Primary School, Anthiyoor (North Portion)"
KOVALAM,88,292,107,262,242,320,193,494,100,439,702,791,1056,"Lutheran Lower Primary School, Anthiyoor (West Portion)"
KOVALAM,89,273,57,297,261,254,271,268,276,327,692,846,890,"Lutheran Lower Primary School, Anthiyoor (South Portion)"
KOVALAM,90,280,16,158,353,262,272,272,232,332,808,935,869,"M C High School, Kottukalkonam (North Portion)"
KOVALAM,91,260,45,164,268,378,220,482,163,404,849,901,1088,"M C High School, Kottukalkonam (East Portion)"
KOVALAM,92,279,31,202,255,393,323,381,289,338,889,1014,1047,"M C High School, Kottukalkonam (South Portion)"
KOVALAM,93,223,74,134,182,365,199,366,245,508,708,765,1166,"M C High School, Kottukalkonam (West Portion)"
KOVALAM,94,147,20,115,259,351,316,249,272,314,875,970,871,"Handloom Co-operative Society, Plavila Office Building"
KOVALAM,95,137,19,130,166,208,156,326,142,634,469,551,1141,Neyyattinkara Kaithary Cluster Balaramapuram
KOVALAM,96,466,14,210,487,62,417,279,157,243,853,1035,703,"Govt. S N V Lower Primary School, Kovalam"
KOVALAM,97,424,9,281,460,23,346,563,40,448,793,914,1086,"Panchayath Sisu Vihar, Vizhinjam (North Portion)"
KOVALAM,98,338,20,133,299,68,230,612,9,323,574,647,978,"Office  of the Exe. Engineer's Room, Harbour Engineering, Office Building"
KOVALAM,99,124,20,184,140,211,232,344,25,256,484,604,647,"Office  of the Exe. Engineer's Room, Harbour Engineering, Office Building South Portion)"
KOVALAM,100,312,56,161,337,248,227,240,145,327,758,833,732,"Panchayath Sisu Vihar, Vizhinjam (South Portion)"
KOVALAM,101,299,64,128,318,226,250,412,129,382,696,820,947,"Harbour Area Lower Primary School, Vizhinjam( East Portion)"
KOVALAM,102,310,98,210,274,352,176,434,120,354,718,818,928,"St. Mary's High School, Vizhinjam"
KOVALAM,103,200,47,150,231,344,209,348,278,281,678,806,933,St.Marys H S Kottappuram  (North East Portion)
KOVALAM,104,294,47,272,297,202,378,275,196,418,823,909,926,"Boys High School, Venganoor (South Portion)"
KOVALAM,105,208,67,268,217,284,350,349,137,459,681,868,978,"Boys High School, Venganoor ( North Portion)"
KOVALAM,106,248,99,200,276,263,203,206,217,486,642,761,936,"Boys High School, Venganoor (East Portion)"
KOVALAM,107,203,69,148,234,304,187,285,262,253,624,753,818,"Govt. S V Lower Primary School, Mulloor (Middle Portion)"
KOVALAM,108,123,23,166,233,114,453,295,223,311,763,834,859,St.Marys LPS Vizhinjam (South Portion)
KOVALAM,109,311,9,277,379,63,301,232,75,564,716,805,901,"St. Mary's High School, Vizhinjam (Main Building)"
KOVALAM,110,202,13,107,226,177,208,541,39,340,530,638,943,"St. Mary's High School, Vizhinjam (Main Building East Portion)"
KOVALAM,111,170,54,110,169,224,153,302,160,315,468,568,794,"St. Mary's High School, Vizhinjam (West Building)"
KOVALAM,112,339,36,160,291,296,170,162,195,233,689,783,615,"St. Mary's High School, Vizhinjam Higher Secondary Block South Portion"
KOVALAM,113,258,86,158,200,357,183,272,363,261,586,773,922,"Harbour Area Lower Primary School, Vizhinjam( West Portion)"
KOVALAM,114,126,20,88,228,160,400,192,383,331,798,825,951,"Executive Engg. Office Harbour Project, Vizhinjam (South Portion)"
KOVALAM,115,107,33,128,165,150,307,211,79,619,616,646,944,"Fisheries Station, Vizhinjam"
KOVALAM,116,199,50,230,187,287,228,207,100,410,649,728,739,"Govt. Lower Primary School, Vizhinjam (East Portion)"
KOVALAM,117,258,66,141,285,286,241,219,221,357,677,828,829,"Govt. Lower Primary School, Vizhinjam (EastBuilding West Portion)"
KOVALAM,118,173,89,109,187,294,239,359,178,338,638,732,908,"Govt. Lower Primary School, Vizhinjam (West Portion)"
KOVALAM,119,158,15,127,209,188,315,253,234,348,726,755,852,"Govt. Lower Primary School, Vizhinjam (North Building East Portion)"
KOVALAM,120,195,17,54,288,124,246,204,112,513,592,678,850,"Lower Primary School, Kidarakuzhi (South Portion)"
KOVALAM,121,394,33,71,469,167,113,351,37,360,687,760,770,"Govt. K V Lower Primary School, Mulloor (East Portion)"
KOVALAM,122,308,23,74,390,153,134,455,74,242,606,700,797,"Govt. K V Lower Primary School, Mulloor (North Portion)"
KOVALAM,123,306,24,193,289,223,247,389,82,269,668,779,752,"Lower Primary School, Kidarakuzhi (North Portion)"
KOVALAM,124,201,20,250,174,243,223,318,153,358,598,660,850,"Govt. S V Lower Primary School, Vizhinjam (West Portion)"
KOVALAM,125,185,13,107,315,159,287,193,212,287,685,798,711,"Govt. L V Lower Primary School, Mulloor (East Portion)"
KOVALAM,126,294,6,66,382,82,205,333,85,439,617,691,876,"Govt. S V Lower Primary School, Mulloor (South Portion)"
KOVALAM,127,405,12,202,539,106,294,410,47,322,860,983,794,"Govt. S V Lower Primary School, Mulloor (East Building)"
KOVALAM,128,303,14,189,344,190,200,559,76,427,619,770,1090,"Govt. K V Lower Primary School, Mulloor (North Portion)"
KOVALAM,129,330,10,107,435,89,200,368,131,343,672,744,871,"Govt. Upper Primary School, Mulloor (East Portion), Panavila"
KOVALAM,130,269,21,129,376,77,215,423,39,338,595,693,819,"Govt. Upper Primary School, Mulloor (South Building Middle Portion), Panavila"
KOVALAM,131,320,12,85,466,82,234,347,35,340,730,813,736,"Govt. Upper Primary School, Mulloor, Panavila (West Portion)"
KOVALAM,132,360,13,81,417,70,254,486,41,377,741,771,926,"Govt. Upper Primary School, Mulloor, Panavila (South Portion)"
KOVALAM,133,550,11,379,442,19,278,455,30,300,1014,775,800,"Govt. Upper Primary School, Mulloor, Panavila (North Portion)"
KOVALAM,134,554,4,292,179,55,164,443,13,337,946,421,816,"Govt. Lower Primary School, Chowara (North Portion)"
KOVALAM,135,327,0,84,602,21,356,128,61,241,572,1036,439,"Luice Memmorial Upper Primary School, Adimalathura (South Portion)"
KOVALAM,136,573,3,327,477,20,210,668,18,405,1020,784,1124,"St.Joseph L P School, Adimalathura"
KOVALAM,137,438,9,219,238,9,192,447,14,385,717,469,872,"Luice Memmorial Upper Primary School, Adimalathura (North Portion)"
KOVALAM,138,598,6,369,308,17,294,233,16,238,1048,674,495,"St. Joseph Lower Primary School, Chowara"
KOVALAM,139,301,87,203,271,7,154,395,4,324,745,467,745,"Central Portion of the Building of MGR Thozhilurapu Office, near Pakalveedu"
KOVALAM,140,445,3,413,457,7,317,300,8,193,901,838,515,"Nalikera Gaveshana Kendram, Kattachalkuzhi (South Portion)"
KOVALAM,141,498,6,317,410,15,256,449,13,356,868,735,859,"Nalikera Gaveshana Kendram, Kattachalkuzhi (North Portion)"
KOVALAM,142,404,2,301,204,4,208,463,8,284,760,437,796,Pulivila Kaitherynaithu Sahakarana Sangham LTD No T 335
KOVALAM,143,481,20,333,369,224,248,221,2,191,876,866,428,Kaithary Naithu Vyavasaya Sahakarana Sangham LTD No  3397
KOVALAM,144,443,54,357,422,14,177,373,146,399,990,668,938,Anjaneya Silk Kaithary Naithu Vyavasaya Sahakarana Sangham
KOVALAM,145,431,6,433,246,7,94,388,8,327,944,366,738,"Govt. High School, Kottukal (North Building, West Portion)"
KOVALAM,146,312,53,189,596,54,196,254,5,151,660,910,416,"Govt. High School, Kottukal (North Building, East Portion)"
KOVALAM,147,398,79,286,562,4,239,652,48,273,923,857,999,"Govt. High School, Kottukal (North Building, Middle Portion)"
KOVALAM,148,178,0,436,475,123,333,601,5,285,636,988,914,"Sisu Mandiram, Kottukal"
KOVALAM,149,321,48,90,331,135,198,555,81,415,651,682,1082,"Govt. Lower Primary School, Chowara (South Portion)"
KOVALAM,150,243,32,239,216,95,141,322,74,330,579,467,742,"Madhavavilasam Upper Primary School, Chowara (East Portion)"
KOVALAM,151,230,46,127,422,20,296,221,65,218,527,781,513,"Madhavavilasam Upper Primary School, Chowara (West Portion)"
KOVALAM,152,262,22,171,216,12,144,458,8,340,502,390,824,Kazhivoor Moolakkara Lower Primary School (West Portion)
KOVALAM,153,311,127,297,344,152,211,215,11,166,880,731,399,Kazhivoor Moolakkara Lower Primary School (East Portion)
KOVALAM,154,226,65,419,230,192,215,413,106,301,751,661,831,"B F M Lower Primary School, Avanakuzhi (North Building )"
KOVALAM,155,697,6,251,163,109,129,199,154,345,998,417,727,"Govt. Lower Primary School, Kottukal Poothalam"
KOVALAM,156,226,100,139,379,4,334,157,66,230,597,846,471,"B F M Lower Primary School, Avanakuzhi (South Building East Portion)"
KOVALAM,157,637,20,197,347,127,231,441,5,462,918,731,933,"Pattom Thanupillai Memmorial High School, Maruthoorkonam (East Portion)"
KOVALAM,158,257,72,190,192,171,238,392,99,329,680,622,846,"N S S Karayoga Mandiram, Avanakuzhi, Kollakonam"
KOVALAM,159,291,109,131,275,125,184,174,204,298,605,605,699,"Panchayath High school, Kanjiramkulam"
KOVALAM,Postal,0,0,0,0,0,0,472,90,492,0,0,1078,
PARASALA,1,226,80,88,278,124,217,312,129,276,561,649,725,"Govt.L P S Puzhanadu, South Portion"
PARASALA,2,131,140,202,190,219,214,177,176,347,551,646,715,"Govt.L P S Puzhanad, South Portion"
PARASALA,3,202,147,210,172,325,231,132,302,353,629,752,809,"Lower Primary School, Kunnanadu"
PARASALA,4,244,101,262,291,251,278,291,165,443,761,859,906,Desiya Thozhil Dana Pathathy Community Hall Walyode
PARASALA,5,341,100,209,275,164,176,328,155,219,924,640,713,Viswabharathy Balavady Plampazhinji
PARASALA,6,351,64,326,212,131,122,244,111,179,899,484,545,SNDP LPS Plampazhanji South Portion
PARASALA,7,289,110,138,329,388,314,344,253,500,628,1086,1129,"L P S Ottasekaramangalam, East portion"
PARASALA,8,223,100,217,273,247,182,349,211,261,644,729,830,"L P S Ottasekaramangalam, West portion"
PARASALA,9,226,42,151,262,181,245,289,146,392,478,719,845,M G M H S Puzhanadu
PARASALA,10,179,19,212,181,173,159,207,141,219,513,548,580,M G M H S Puzhanadu
PARASALA,11,370,109,178,181,145,242,215,85,362,999,596,671,Panchayath Office Ottasekharamangalam
PARASALA,12,196,77,168,242,131,145,239,135,199,683,558,584,"Panchayath Conference Hall, Ottasekharamangalam"
PARASALA,13,249,76,125,295,140,186,276,149,263,558,642,707,S N D P Yoga mandiram Alachakonam
PARASALA,14,232,183,111,232,212,272,268,206,343,642,753,841,S N D P Yoga mandiram Alachakonam East Portion
PARASALA,15,403,102,190,268,176,190,219,192,282,758,655,701,Anganvady Manakkala
PARASALA,16,254,135,230,231,318,188,282,296,231,726,760,824,N S S Karayogamandiram Vazhichal
PARASALA,17,273,79,223,327,261,235,287,225,362,641,868,898,Mini Community Hall Kunthalacode
PARASALA,18,314,177,298,226,269,315,202,216,417,868,841,852,Sent.Annas L P S Kallikadu
PARASALA,19,320,119,340,239,280,262,271,191,388,1008,805,861,Lutharan L P S Mylakkara
PARASALA,20,195,115,224,258,345,375,259,261,451,713,1019,990,"Village Office,Kallikadu"
PARASALA,21,221,113,218,370,237,374,440,160,491,714,1018,1113,"Govt H S S Neyyardam, South Building, West portion"
PARASALA,22,274,129,307,203,293,320,307,185,401,820,862,909,"Govt H S Neyyardam, South Building, East portion"
PARASALA,23,292,52,225,256,208,310,266,183,365,779,806,832,"Govt H S Neyyardam, L P Section, East portion"
PARASALA,24,207,16,89,319,361,361,392,243,528,365,1065,1179,"U P S Mylakkara, East portion"
PARASALA,25,488,27,141,360,174,304,440,125,355,745,862,931,"U P S Mylakkara, West portion"
PARASALA,26,130,53,142,265,56,170,244,45,255,406,501,559,"Govt H S Neyyardam, South Building, Center portion"
PARASALA,27,141,37,124,497,117,162,452,86,299,408,798,854,"Govt H S Neyyardam, L P Section, West portion"
PARASALA,28,578,43,153,128,157,197,133,117,248,820,510,507,L P S Vavode
PARASALA,29,214,130,81,187,87,156,200,61,220,448,455,491,"St. Thomas H S Amboory, Main Building, South Portion"
PARASALA,30,547,34,165,491,146,155,402,90,380,803,802,880,"St.George L P S Amboory, North Building North Portion"
PARASALA,31,333,68,242,335,337,135,276,401,309,780,861,1019,"Sent Merys L P S Thekkupara, East Portion"
PARASALA,32,271,38,126,521,89,203,486,64,318,716,849,883,"Sent Merys L P S Thekkupara, West Portion"
PARASALA,33,277,100,187,386,232,254,341,191,435,624,917,989,"Sent Thomas H S Amboory, Main Building, North Portion"
PARASALA,34,242,38,133,352,83,344,354,70,429,523,817,870,"Sent Mary's U P S Marigiry, North Portion"
PARASALA,35,392,69,256,308,150,225,248,149,401,974,752,805,"Sent Mary's U P S Marigiri, East Portion"
PARASALA,36,296,129,302,240,167,147,221,119,249,846,590,611,"Govt. U P S Kuttamala, South Portion"
PARASALA,37,330,134,355,449,223,426,467,164,540,1005,1154,1205,"Govt. U P S Kuttamala, Building Behind South Portion"
PARASALA,38,206,99,270,268,376,307,310,275,437,695,982,1045,"L P S Koviloor, South Portion"
PARASALA,39,156,137,219,256,378,338,232,329,510,565,1032,1113,"L P S Koviloor, North Portion"
PARASALA,40,192,55,195,294,316,371,295,257,543,572,1038,1118,Marbassaliyose Engilish Medium School Kuttamala
PARASALA,41,327,113,392,99,328,211,85,329,343,964,668,768,"Govt. U P S Kuttamala, North Portion"
PARASALA,42,396,66,169,199,209,256,247,160,362,880,713,780,"Mar Baselious English Medium School,Kuttamala(South Building)"
PARASALA,43,456,108,186,351,415,368,371,328,549,997,1176,1267,"Govt. H S Mylachal, East Building South Portion"
PARASALA,44,235,75,214,476,212,281,513,165,364,590,998,1076,"Govt. H S Mylachal, Central Portion"
PARASALA,45,135,88,191,456,255,334,502,198,378,510,1095,1098,"Govt. H S Mylachal, Main Building, North Portion"
PARASALA,46,178,165,250,211,248,187,209,260,238,657,675,723,"Govt. H S Mylachal, Building infront of Auditorium"
PARASALA,47,278,88,227,117,192,249,99,207,320,763,573,635,"Govt. H S Mylachal, Primary Wing South Portion"
PARASALA,48,316,55,92,134,400,239,110,415,352,662,798,889,"Govt. H S Mylachal, L P Section Building Near Auditorium"
PARASALA,49,193,97,142,250,213,426,313,227,480,512,933,1038,Mylachal Service Sahakarana Bank No.683
PARASALA,50,157,126,137,319,151,269,401,100,286,548,761,800,"L MS L P S Chempoor, Main Building"
PARASALA,51,249,47,130,163,193,219,178,186,273,611,590,651,"Govt. H S Mylachal, East building, North portion"
PARASALA,52,356,30,104,141,282,264,159,258,304,670,698,729,"Govt. H S Mylachal, HSS Section"
PARASALA,53,305,124,115,262,184,238,305,121,366,749,716,812,"L MS H S Chempoor, Near to Officeroom, Old Building"
PARASALA,54,344,109,161,409,171,192,421,84,348,802,795,863,"L MS H S Chempoor,  Old Building(South Portion)"
PARASALA,55,330,118,178,337,280,279,473,236,299,940,925,1030,"L MS H S Chempoor, New building"
PARASALA,56,296,97,379,275,343,293,363,325,400,835,955,1099,"Anganwadi Building,Chilmbara"
PARASALA,57,321,84,508,403,292,384,466,295,454,972,1126,1233,"Panchayath  Community Hall Aryamcode, East portion"
PARASALA,58,179,123,120,235,357,356,235,281,580,535,990,1109,"R C Lower Primary School, Keezharoor"
PARASALA,59,266,110,216,247,363,462,185,246,717,788,1100,1161,"Govt. H S Kezharur, East portion"
PARASALA,60,214,44,289,141,307,151,151,301,212,581,613,672,"Panchayath  Community Hall Aryamcode, West portion"
PARASALA,61,318,178,220,259,278,348,318,263,463,916,919,1068,"KrishyBhavan, Aryancode"
PARASALA,62,335,84,148,142,233,254,101,226,363,751,645,698,R C L P S Kezharur
PARASALA,63,309,48,186,262,438,372,325,377,492,749,1124,1217,"Govt. H S Keezharoor, West Portion"
PARASALA,64,258,131,125,393,196,305,394,159,466,668,921,1031,"Krishi Bhavan Training Centre, Aryancodu"
PARASALA,65,304,49,135,335,161,314,342,136,400,653,831,898,"Krishi Assistant Director Office, Aryancodu"
PARASALA,66,276,97,80,219,374,199,185,385,398,729,833,988,Panchayath Office Perumkadavila
PARASALA,67,252,113,140,309,254,236,271,226,391,590,855,920,"PWD Road Division,(Kunnathukal),Perumkadavila"
PARASALA,68,164,72,245,247,262,340,277,265,415,606,878,974,"Panchayath Office,Perumkadavila(East Portion)"
PARASALA,69,168,177,250,234,277,200,259,251,301,742,733,832,"Govt.L P B S Perumkadavila, East portion"
PARASALA,70,163,181,277,198,208,271,180,165,366,756,697,728,"Govt.L P B S Perumkadavila, Central portion"
PARASALA,71,265,253,171,223,302,323,176,266,415,932,868,876,"Govt.H S Marayamattam, Ground floor"
PARASALA,72,321,127,386,314,369,333,232,334,585,998,1081,1187,"Govt.H S Marayamattam, South Building"
PARASALA,73,307,226,276,312,448,262,260,465,407,945,1086,1154,"Govt.H S Marayamuttom, Main building South portion"
PARASALA,74,195,176,270,188,216,246,136,213,383,777,685,745,"Govt.H S Marayamuttom, Main building North portion"
PARASALA,75,264,74,241,107,131,219,92,116,306,759,474,527,"Govt.L P G S Perumkadavila, South portion"
PARASALA,76,264,60,383,230,413,431,224,391,600,907,1118,1242,"Govt.L P B S Perumkadavila, West portion"
PARASALA,77,271,90,258,193,367,306,168,299,502,810,910,977,"Govt.L P B S Perumkadavila, North BuildingWest portion"
PARASALA,78,271,153,325,281,182,384,309,165,535,908,889,1027,"Govt.L P G S Perumkadavila, North portion"
PARASALA,79,307,230,390,292,223,441,276,183,582,1106,987,1051,Govt.H S Marayamattam
PARASALA,80,143,63,276,324,234,306,251,203,517,600,904,992,"Govt.H S Marayamattam,South Portion of Auditorium"
PARASALA,81,275,161,211,346,293,299,256,237,549,786,1001,1082,"G R Public School,Malayithottam"
PARASALA,82,341,114,263,298,346,336,216,355,550,971,1022,1136,"G R Public School, Malayilthottam (South Portion)"
PARASALA,83,322,45,246,207,180,278,146,142,419,799,698,718,Parameswaravilasam U P S Thathiyoor
